traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2
14,12,null,org.mybatis.jpetstore.mapper.AccountMapper.updateAccount,org.mybatis.jpetstore.domain.Account.getPhone,org.mybatis.jpetstore.domain.Account,,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
14,13,null,org.mybatis.jpetstore.mapper.AccountMapper.updateAccount,org.mybatis.jpetstore.domain.Account.getUsername,org.mybatis.jpetstore.domain.Account,,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
14,14,null,org.mybatis.jpetstore.mapper.AccountMapper.updateAccount,org.mybatis.jpetstore.domain.Account.getLanguagePreference,org.mybatis.jpetstore.domain.Account,,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
14,15,null,org.mybatis.jpetstore.mapper.AccountMapper.updateAccount,org.mybatis.jpetstore.domain.Account.getFavouriteCategoryId,org.mybatis.jpetstore.domain.Account,,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
14,16,null,org.mybatis.jpetstore.mapper.AccountMapper.updateAccount,org.mybatis.jpetstore.domain.Account.isListOption,org.mybatis.jpetstore.domain.Account,,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
14,17,null,org.mybatis.jpetstore.mapper.AccountMapper.updateAccount,org.mybatis.jpetstore.domain.Account.isBannerOption,org.mybatis.jpetstore.domain.Account,,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
14,18,null,org.mybatis.jpetstore.mapper.AccountMapper.updateAccount,org.mybatis.jpetstore.domain.Account.getUsername,org.mybatis.jpetstore.domain.Account,,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
14,19,null,org.mybatis.jpetstore.mapper.AccountMapper.updateAccount,org.mybatis.jpetstore.domain.Account.getPassword,org.mybatis.jpetstore.domain.Account,,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
14,20,null,org.mybatis.jpetstore.mapper.AccountMapper.updateAccount,org.mybatis.jpetstore.domain.Account.getPassword,org.mybatis.jpetstore.domain.Account,,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
14,21,null,org.mybatis.jpetstore.web.actions.AccountActionBean.editAccount,org.mybatis.jpetstore.domain.Account.getUsername,,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
14,22,null,org.mybatis.jpetstore.web.actions.AccountActionBean.editAccount,org.mybatis.jpetstore.service.AccountService.getAccount,,java.lang.String,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService
14,23,null,org.mybatis.jpetstore.service.AccountService.getAccount,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper
