method1,method2,method2return,method2para,class1,class2
org.mybatis.jpetstore.web.actions.OrderActionBean.listOrders,org.mybatis.jpetstore.service.OrderService.getOrdersByUsername,org.mybatis.common.util.PaginatedList,java.lang.String,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService
org.mybatis.jpetstore.service.OrderService.getOrdersByUsername,org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.common.util.PaginatedList,java.lang.String,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.OrderMapper
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.<init>,public,,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setBillAddress1,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setBillAddress2,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setBillCity,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setBillCountry,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setBillState,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setBillToFirstName,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setBillToLastName,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setBillZip,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setShipAddress1,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setShipAddress2,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setShipCity,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setShipCountry,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setShipState,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setShipToFirstName,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,org.mybatis.jpetstore.domain.Order.setShipToLastName,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
